Date,Country_Region,positive,active,hospitalized,hospitalizedCurr,recovered,death,total_tested,daily_tested,daily_positive
2020-02-04,Armenia,0,0,NA,NA,0,0,18,12,0
2020-02-05,Armenia,0,0,NA,NA,0,0,23,5,0
2020-02-06,Armenia,0,0,NA,NA,0,0,39,16,0
2020-02-07,Armenia,0,0,NA,NA,0,0,48,9,0
2020-02-10,Armenia,0,0,NA,NA,0,0,52,1,0
2020-02-11,Armenia,0,0,NA,NA,0,0,63,11,0
2020-02-14,Armenia,0,0,NA,NA,0,0,67,1,0
2020-02-18,Armenia,0,0,NA,NA,0,0,68,0,0
2020-02-19,Armenia,0,0,NA,NA,0,0,73,5,0
2020-02-20,South Korea,104,87,NA,NA,16,1,13202,2029,53
2020-02-21,South Korea,204,185,NA,NA,17,2,16400,3198,100
2020-02-22,South Korea,433,413,NA,NA,18,2,21586,5186,229
2020-02-23,South Korea,602,580,NA,NA,18,4,25577,3991,169
2020-02-24,Armenia,0,0,NA,NA,0,0,79,1,0
2020-02-24,South Korea,833,804,NA,NA,22,7,31923,6346,231
2020-02-25,Armenia,0,0,NA,NA,0,0,86,7,0
2020-02-25,Italy,322,312,NA,150,1,10,8623,4299,93
2020-02-25,South Korea,977,945,NA,NA,22,10,40304,8381,144
2020-02-26,Armenia,0,0,NA,NA,0,0,93,7,0
2020-02-26,Estonia,1,1,NA,NA,0,0,9,8,1
2020-02-26,Italy,400,385,NA,164,3,12,9587,964,78
2020-02-26,South Korea,1261,1225,NA,NA,24,12,53553,13249,284
2020-02-27,Armenia,0,0,NA,NA,0,0,100,7,0
2020-02-27,Estonia,1,1,NA,NA,0,0,19,10,0
2020-02-27,Greece,3,3,NA,NA,0,0,0,0,2
2020-02-27,Italy,650,588,NA,304,45,17,12014,2427,250
2020-02-27,South Korea,1766,1727,NA,NA,26,13,66652,13099,505
2020-02-28,Armenia,0,0,NA,NA,0,0,105,5,0
2020-02-28,Estonia,1,1,NA,NA,0,0,32,13,0
2020-02-28,Greece,4,4,NA,NA,0,0,0,0,1
2020-02-28,Italy,888,821,NA,409,46,21,15695,3681,238
2020-02-28,South Korea,2337,2297,NA,NA,27,13,81167,14515,571
2020-02-29,Armenia,0,0,NA,NA,0,0,118,13,0
2020-02-29,Estonia,1,1,NA,NA,0,0,40,8,0
2020-02-29,Greece,7,7,NA,NA,0,0,0,0,3
2020-02-29,Italy,1128,1049,NA,506,50,29,18661,2966,240
2020-02-29,South Korea,3150,3105,NA,NA,28,17,94055,12888,813
2020-03-01,Armenia,1,1,NA,1,0,0,119,1,1
2020-03-01,Estonia,1,1,NA,NA,0,0,58,18,0
2020-03-01,Greece,7,7,NA,NA,0,0,0,0,0
2020-03-01,Italy,1694,1577,NA,779,83,34,21127,2466,566
2020-03-01,South Korea,4212,4159,NA,NA,31,22,109591,15536,1062
2020-03-02,Armenia,1,1,NA,1,0,0,138,19,0
2020-03-02,Estonia,2,2,NA,NA,0,0,80,22,1
2020-03-02,Greece,7,7,NA,NA,0,0,504,504,0
2020-03-02,Italy,2036,1835,NA,908,149,52,23345,2218,342
2020-03-02,South Korea,4812,4750,NA,NA,34,28,125851,16260,600
2020-03-03,Armenia,1,1,NA,1,0,0,150,12,0
2020-03-03,Estonia,2,2,NA,NA,0,0,109,29,0
2020-03-03,Greece,7,7,NA,NA,0,0,570,66,0
2020-03-03,Italy,2502,2263,NA,1263,160,79,25856,2511,466
2020-03-03,South Korea,5328,5255,NA,NA,41,32,136707,10856,516
2020-03-04,Armenia,1,1,NA,1,0,0,163,13,0
2020-03-04,Estonia,3,3,NA,NA,0,0,145,36,1
2020-03-04,Italy,3089,2706,NA,1641,276,107,29837,3981,587
2020-03-04,Poland,1,1,NA,NA,0,0,584,25,1
2020-03-04,South Korea,5766,5643,NA,NA,88,35,146541,9834,438
2020-03-05,Armenia,1,1,NA,1,0,0,176,13,0
2020-03-05,Estonia,10,10,NA,NA,0,0,180,35,7
2020-03-05,Greece,31,31,NA,NA,0,0,0,0,22
2020-03-05,Italy,3858,3296,NA,2141,414,148,32362,2525,769
2020-03-05,Poland,1,1,NA,NA,0,0,676,92,0
2020-03-05,South Korea,6284,6134,NA,NA,108,42,164740,18199,518
2020-03-06,Armenia,1,1,NA,1,0,0,183,7,0
2020-03-06,Estonia,10,10,NA,NA,0,0,251,71,0
2020-03-06,Greece,45,45,NA,NA,0,0,0,0,14
2020-03-06,Italy,4636,3916,NA,2856,523,197,36359,3997,778
2020-03-06,Poland,5,5,NA,NA,0,0,855,179,4
2020-03-06,South Korea,6767,6605,NA,NA,118,44,178189,13449,483
2020-03-07,Armenia,1,1,NA,1,0,0,195,12,0
2020-03-07,Estonia,10,10,NA,NA,0,0,280,29,0
2020-03-07,Greece,66,66,NA,NA,0,0,0,0,21
2020-03-07,Italy,5883,5061,NA,3218,589,233,42062,5703,1247
2020-03-07,Serbia,1,1,NA,1,0,0,109,24,0
2020-03-07,South Korea,7134,6954,NA,NA,130,50,188518,10329,367
2020-03-08,Armenia,1,1,NA,1,0,0,203,8,0
2020-03-08,Estonia,10,10,NA,NA,0,0,300,20,0
2020-03-08,Greece,73,73,NA,NA,0,0,0,0,7
2020-03-08,Italy,7375,6387,NA,4207,622,366,49937,7875,1492
2020-03-08,Serbia,1,1,NA,1,0,0,112,3,0
2020-03-08,South Korea,7382,7165,NA,NA,166,51,196618,8100,248
2020-03-09,Armenia,1,1,NA,1,0,0,210,7,0
2020-03-09,Estonia,13,13,NA,NA,0,0,364,64,3
2020-03-09,Greece,84,84,NA,NA,0,0,0,0,11
2020-03-09,Italy,9172,7985,NA,5049,724,463,53826,3889,1797
2020-03-09,Poland,17,17,NA,NA,0,0,1384,230,6
2020-03-09,Serbia,2,2,NA,2,0,0,119,7,1
2020-03-09,South Korea,7513,7212,NA,NA,247,54,210144,13526,131
2020-03-10,Armenia,1,1,NA,1,0,0,225,15,0
2020-03-10,Estonia,15,15,NA,NA,0,0,421,57,2
2020-03-10,Greece,89,89,NA,NA,0,0,0,0,5
2020-03-10,Italy,10149,8514,NA,5915,1004,631,60761,6935,977
2020-03-10,Poland,22,22,NA,NA,0,0,1630,246,5
2020-03-10,Serbia,5,5,NA,3,0,0,135,16,3
2020-03-10,South Korea,7755,7407,NA,NA,288,60,222395,12251,242
2020-03-11,Armenia,4,4,NA,4,0,0,238,13,3
2020-03-11,Bangladesh,3,1,NA,NA,2,0,142,10,0
2020-03-11,Estonia,18,18,NA,NA,0,0,486,65,3
2020-03-11,Greece,99,99,NA,NA,0,0,1700,1700,10
2020-03-11,Italy,12462,10590,NA,6866,1045,827,73154,12393,2313
2020-03-11,Poland,31,31,NA,NA,0,0,2024,394,9
